date,city,temperature_c,humidity_pct,wind_speed_mps,rainfall_mm,traffic_index,industrial_index,construction_index,festival_flag,crop_burning_flag,pm25,pm10,no2,so2,co,o3,pollution_event_text,aqi
2021-01-18,Delhi,14.57,78.61,4.24,0.0,78.43,55.92,73.62,0,0,77.15,97.15,65.09,14.31,1.47,23.66,"heavy traffic, construction activity",262.44
2021-01-19,Chennai,14.39,95.0,3.08,0.0,67.14,51.03,46.52,0,0,62.89,106.85,43.2,19.3,1.374,20.24,normal urban conditions,194.31
2021-01-20,Hyderabad,18.2,65.31,5.37,0.0,71.62,67.53,57.93,0,0,69.41,83.16,60.06,18.28,1.592,19.74,normal urban conditions,243.91
2021-01-21,Hyderabad,18.92,69.27,3.01,0.0,60.24,64.53,47.79,0,0,70.56,106.27,47.28,17.19,1.427,25.35,normal urban conditions,224.84
2021-01-22,Mumbai,15.56,66.45,2.91,0.0,76.26,41.6,24.16,0,0,78.91,121.81,46.84,10.01,1.393,12.82,heavy traffic,200.21
2021-01-23,Delhi,18.02,64.31,2.99,0.0,63.04,93.44,92.36,0,0,90.98,105.87,57.89,20.75,1.608,21.72,"construction activity, industrial emissions",280.47
2021-01-24,Chennai,19.65,83.49,1.62,0.0,43.63,51.56,75.49,0,0,72.86,110.69,39.28,9.95,1.137,18.41,"construction activity, low wind",160.5
2021-01-25,Bengaluru,19.79,61.22,1.96,0.0,75.12,56.25,55.09,0,0,80.63,127.32,51.94,15.26,1.477,23.41,"heavy traffic, low wind",224.52
2021-01-26,Bengaluru,22.59,61.24,2.56,0.0,35.85,61.92,30.88,0,0,75.59,117.76,40.84,15.18,0.963,10.39,normal urban conditions,178.76
2021-01-27,Hyderabad,21.77,50.69,4.56,0.0,66.52,58.23,43.5,0,0,45.62,100.53,35.6,15.12,1.348,36.98,normal urban conditions,190.87
2021-01-28,Chennai,14.93,63.77,3.16,0.0,55.85,79.46,34.15,0,0,63.8,89.41,43.53,15.56,1.367,29.89,industrial emissions,192.88
2021-01-29,Hyderabad,22.99,48.62,2.62,0.0,54.83,41.38,49.95,0,0,63.5,113.84,45.31,15.73,1.158,16.76,normal urban conditions,199.7
2021-01-30,Hyderabad,16.34,76.68,4.67,0.0,64.75,66.1,54.2,0,0,62.01,97.21,53.17,19.35,1.551,21.83,normal urban conditions,215.71
2021-01-31,Hyderabad,21.07,95.0,5.06,0.0,50.65,54.96,41.18,0,0,61.56,118.96,41.31,20.86,1.26,7.78,normal urban conditions,224.35
2021-02-01,Mumbai,20.7,63.64,4.71,0.0,74.2,69.69,18.91,0,0,63.16,63.05,53.14,23.13,1.493,22.34,normal urban conditions,229.52
2021-02-02,Delhi,19.26,51.65,2.18,0.0,66.91,48.13,90.64,0,0,84.86,124.31,49.85,15.17,1.489,7.03,construction activity,248.2
2021-02-03,Hyderabad,15.08,80.25,2.61,0.0,56.12,45.69,52.75,0,0,71.54,116.76,48.09,17.38,1.191,14.62,normal urban conditions,201.59
2021-02-04,Chennai,19.99,60.54,5.38,0.0,87.41,65.18,57.13,1,0,80.63,146.62,46.24,18.21,1.744,18.31,"heavy traffic, festival fireworks",208.48
2021-02-05,Delhi,15.82,83.72,3.49,0.0,69.28,58.44,39.55,0,0,59.7,106.08,45.77,15.07,1.357,24.75,normal urban conditions,222.73
2021-02-06,Chennai,23.4,62.6,2.88,0.0,76.09,37.23,16.76,0,0,66.67,110.4,47.46,12.12,1.35,35.04,heavy traffic,209.45
2021-02-07,Chennai,25.05,57.95,4.06,0.0,88.67,76.22,46.33,0,0,63.15,114.68,60.24,21.11,1.854,36.66,"heavy traffic, industrial emissions",231.48
2021-02-08,Mumbai,18.11,67.34,4.41,0.0,88.4,65.19,41.54,1,0,78.3,141.27,43.68,29.69,1.632,27.99,"heavy traffic, festival fireworks",242.81
2021-02-09,Bengaluru,21.41,74.39,2.51,0.0,75.28,50.66,62.19,0,0,86.97,120.81,43.18,18.61,1.462,21.42,heavy traffic,222.37
2021-02-10,Delhi,18.32,66.7,3.46,0.0,61.16,43.57,66.12,0,0,80.12,97.77,42.7,14.71,1.283,22.79,normal urban conditions,198.97
2021-02-11,Bengaluru,18.61,63.8,4.31,0.0,43.12,58.55,63.3,0,0,82.08,95.45,44.0,17.82,1.037,23.27,normal urban conditions,185.36
2021-02-12,Bengaluru,22.82,63.84,1.81,0.0,69.31,63.89,67.77,0,0,82.34,136.84,49.43,18.65,1.323,14.63,low wind,226.36
2021-02-13,Mumbai,20.38,54.81,3.21,0.0,83.51,23.31,84.07,0,0,67.49,119.73,43.54,10.46,1.465,30.66,"heavy traffic, construction activity",207.69
2021-02-14,Delhi,25.72,67.77,1.86,0.0,71.67,58.76,55.8,0,0,89.12,123.92,54.92,18.67,1.692,28.84,low wind,262.43
2021-02-15,Chennai,19.05,50.6,2.02,0.0,15.0,63.75,69.98,0,0,78.18,111.48,29.06,16.73,0.849,27.56,normal urban conditions,183.44
2021-02-16,Hyderabad,23.5,60.91,2.52,0.0,79.92,10.0,57.88,0,0,85.08,129.01,49.63,5.57,1.321,7.64,heavy traffic,194.65
2021-02-17,Chennai,20.79,74.84,3.77,0.0,80.9,55.53,10.0,0,0,57.28,102.94,50.99,17.33,1.483,23.62,heavy traffic,202.89
2021-02-18,Bengaluru,22.89,68.81,2.81,0.0,61.18,64.5,44.91,0,0,71.91,122.96,41.08,19.17,1.489,29.37,normal urban conditions,193.28
2021-02-19,Bengaluru,19.16,74.29,2.42,0.0,81.81,62.46,30.65,0,0,90.37,106.5,64.2,16.56,1.576,19.52,heavy traffic,240.02
2021-02-20,Bengaluru,20.35,66.9,3.26,0.0,76.05,66.44,52.63,0,0,88.7,96.08,60.7,18.56,1.654,17.66,heavy traffic,245.61
2021-02-21,Delhi,20.15,79.39,1.82,0.0,55.03,46.1,32.18,0,0,75.55,99.08,37.21,17.26,1.236,10.02,low wind,199.88
2021-02-22,Mumbai,17.99,78.45,3.71,0.0,86.34,33.28,60.11,0,0,71.25,91.33,52.38,12.17,1.536,8.44,heavy traffic,204.73
2021-02-23,Hyderabad,22.49,70.52,4.56,0.0,45.72,19.6,67.62,0,0,55.28,79.32,28.87,8.8,0.964,22.99,normal urban conditions,153.79
2021-02-24,Hyderabad,22.45,75.36,3.1,0.0,65.08,71.66,72.07,0,0,91.73,160.7,54.05,16.34,1.506,19.66,"construction activity, industrial emissions",258.68
2021-02-25,Delhi,22.28,73.71,2.96,0.0,63.49,64.66,80.39,0,0,72.83,78.46,43.25,16.58,1.422,19.67,construction activity,215.42
2021-02-26,Hyderabad,25.11,59.83,3.65,0.0,52.79,73.03,14.48,0,0,72.6,119.64,50.52,23.29,1.399,35.33,industrial emissions,261.11
2021-02-27,Delhi,24.85,50.97,0.77,0.0,70.86,38.95,24.02,0,0,84.43,137.53,55.97,12.64,1.276,16.76,low wind,257.35
2021-02-28,Bengaluru,19.38,72.44,3.84,0.0,86.97,66.47,100.0,0,0,85.05,148.56,51.04,18.71,1.673,17.54,"heavy traffic, construction activity",229.9
2021-03-01,Bengaluru,25.12,69.68,6.92,0.0,88.89,24.95,68.19,1,0,75.62,124.89,45.87,10.02,1.584,35.31,"heavy traffic, festival fireworks",216.37
2021-03-02,Chennai,22.13,77.21,3.05,0.0,80.51,36.35,52.49,0,0,83.88,147.96,56.49,11.59,1.448,18.72,heavy traffic,219.84
2021-03-03,Bengaluru,24.07,55.59,3.06,0.0,41.79,54.27,48.64,0,0,67.74,143.74,32.06,13.04,1.051,25.03,normal urban conditions,169.02
2021-03-04,Mumbai,22.2,57.2,4.09,0.0,47.55,63.94,46.86,0,0,74.44,111.02,36.93,17.53,1.287,22.12,normal urban conditions,195.27
2021-03-05,Chennai,28.86,66.2,5.17,0.0,71.59,82.22,9.33,0,0,61.65,110.41,56.41,18.6,1.669,30.87,industrial emissions,215.17
2021-03-06,Hyderabad,25.09,63.52,4.37,0.0,68.38,47.68,32.55,0,0,63.09,129.19,44.31,18.45,1.253,9.79,normal urban conditions,190.83
2021-03-07,Mumbai,23.35,46.6,0.61,0.0,60.96,36.42,45.76,0,0,47.93,80.92,35.26,12.5,1.258,23.82,low wind,153.37
2021-03-08,Chennai,27.58,66.24,3.88,0.0,99.41,35.49,33.68,0,0,84.86,118.28,53.3,12.55,1.667,25.6,heavy traffic,233.03
2021-03-09,Mumbai,17.49,51.03,6.29,0.0,70.62,39.62,36.3,0,0,57.13,90.94,52.7,12.8,1.392,14.51,normal urban conditions,200.73
2021-03-10,Delhi,17.96,59.78,3.95,0.0,77.61,91.98,99.17,0,0,106.31,154.93,70.53,22.83,1.734,23.11,"heavy traffic, construction activity, industrial emissions",328.73
2021-03-11,Hyderabad,26.39,76.85,1.81,0.0,84.73,65.62,42.97,0,0,81.14,86.84,54.32,21.97,1.698,28.8,"heavy traffic, low wind",240.31
2021-03-12,Bengaluru,24.18,83.12,3.54,0.0,69.81,72.03,53.56,0,0,88.99,154.03,46.21,15.4,1.373,24.49,industrial emissions,209.57
2021-03-13,Delhi,24.75,52.32,1.66,0.0,100.0,47.7,52.85,0,0,101.87,147.35,57.8,15.47,1.665,37.79,"heavy traffic, low wind",274.82
2021-03-14,Hyderabad,20.02,64.49,4.68,0.0,53.88,51.97,59.79,0,0,52.38,112.08,51.07,10.61,1.268,18.24,normal urban conditions,201.57
2021-03-15,Delhi,23.93,65.48,2.05,0.0,59.23,64.59,38.45,0,0,85.29,81.04,53.01,21.0,1.558,26.79,normal urban conditions,274.51
2021-03-16,Bengaluru,30.01,78.6,3.29,0.0,53.84,42.9,72.94,0,0,73.62,100.24,48.88,13.54,1.183,28.41,construction activity,201.74
2021-03-17,Hyderabad,26.47,58.34,2.17,0.0,93.93,46.76,56.87,0,0,70.7,141.68,63.43,10.0,1.602,23.91,heavy traffic,244.27
2021-03-18,Mumbai,24.51,59.87,2.54,0.0,81.76,39.86,22.26,0,0,76.68,111.99,43.07,9.55,1.481,32.23,heavy traffic,206.24
2021-03-19,Mumbai,22.68,81.41,4.98,0.0,60.22,43.95,45.85,0,0,49.62,66.69,35.0,16.47,1.165,22.72,normal urban conditions,167.38
2021-03-20,Hyderabad,22.82,62.08,3.32,0.0,55.11,52.88,44.56,0,0,46.68,99.34,38.35,10.47,1.329,14.69,normal urban conditions,182.16
2021-03-21,Bengaluru,17.61,76.69,2.53,0.0,91.09,37.21,43.64,0,0,85.27,136.41,50.89,13.79,1.57,23.74,heavy traffic,245.25
2021-03-22,Chennai,24.77,49.69,1.83,0.0,74.72,57.15,58.19,0,0,82.18,133.19,48.56,14.86,1.574,22.17,low wind,224.16
2021-03-23,Hyderabad,26.54,61.51,0.95,0.0,91.49,57.12,60.69,0,0,111.54,143.23,56.68,15.56,1.678,22.95,"heavy traffic, low wind",268.63
2021-03-24,Delhi,19.27,51.71,1.7,0.0,67.97,48.77,58.33,0,0,80.31,142.67,52.39,12.78,1.45,20.65,low wind,246.26
2021-03-25,Chennai,22.02,55.83,3.33,0.0,77.11,37.11,54.78,0,0,77.96,107.41,48.54,10.08,1.268,28.56,heavy traffic,204.01
2021-03-26,Bengaluru,20.53,75.82,4.38,0.0,73.73,53.89,49.71,0,0,74.6,126.63,55.86,14.16,1.46,27.74,normal urban conditions,223.29
2021-03-27,Bengaluru,21.1,66.53,2.53,0.0,58.94,42.91,5.0,0,0,68.93,109.73,44.46,15.58,1.258,20.51,normal urban conditions,187.32
2021-03-28,Delhi,24.16,61.7,5.08,0.0,66.62,52.84,63.56,1,0,63.18,107.62,40.72,14.58,1.345,22.37,festival fireworks,217.9
2021-03-29,Mumbai,17.75,61.89,2.34,0.0,49.98,71.77,57.77,0,0,76.7,112.63,46.67,19.75,1.309,6.0,industrial emissions,205.24
2021-03-30,Bengaluru,25.84,61.5,2.91,0.0,76.83,29.45,28.3,0,0,63.84,100.09,37.52,10.98,1.376,19.86,heavy traffic,172.84
2021-03-31,Chennai,26.26,66.43,1.9,0.0,81.11,91.12,53.61,0,0,102.83,139.14,47.89,23.41,1.854,17.85,"heavy traffic, industrial emissions, low wind",237.09
2021-04-01,Hyderabad,26.75,72.91,4.39,0.0,85.84,50.69,60.96,0,0,78.59,115.99,56.35,16.36,1.634,26.14,heavy traffic,243.3
2021-04-02,Chennai,20.06,41.51,5.72,0.0,80.66,59.41,71.42,0,0,60.29,121.98,56.78,14.88,1.606,23.3,"heavy traffic, construction activity",207.82
2021-04-03,Chennai,24.51,56.32,1.09,0.0,67.95,38.45,58.21,1,0,85.25,116.27,47.64,10.29,1.366,18.36,"low wind, festival fireworks",211.92
2021-04-04,Mumbai,31.2,61.55,2.78,0.0,94.83,72.56,54.43,0,0,108.37,171.04,59.86,21.48,1.715,28.84,"heavy traffic, industrial emissions",271.98
2021-04-05,Chennai,19.17,67.4,4.72,0.0,84.28,49.74,66.94,0,0,56.8,95.18,43.26,12.52,1.5,19.98,heavy traffic,168.92
2021-04-06,Mumbai,26.46,67.31,1.46,0.0,92.22,44.91,41.87,0,0,95.42,148.15,64.27,15.69,1.515,6.69,"heavy traffic, low wind",247.74
2021-04-07,Mumbai,23.96,67.7,3.88,0.0,93.22,41.64,56.24,0,0,90.21,146.75,57.05,13.76,1.662,30.81,heavy traffic,255.84
2021-04-08,Bengaluru,29.91,57.81,4.67,0.0,67.99,47.17,35.58,0,0,63.43,109.83,46.42,13.16,1.382,34.59,normal urban conditions,193.69
2021-04-09,Bengaluru,25.47,58.7,3.29,0.0,76.21,59.53,70.21,0,0,99.81,139.66,51.88,17.81,1.632,23.3,"heavy traffic, construction activity",245.06
2021-04-10,Delhi,28.71,59.25,3.86,0.0,82.39,55.11,15.81,0,0,76.03,100.79,49.88,19.92,1.598,29.15,heavy traffic,261.01
2021-04-11,Chennai,29.2,72.85,5.31,0.0,51.61,51.28,64.33,0,0,60.29,98.63,31.81,17.08,1.127,23.04,normal urban conditions,192.19
2021-04-12,Delhi,33.01,51.37,5.54,0.0,51.97,39.19,48.35,1,0,49.58,101.94,37.46,13.66,1.12,18.76,festival fireworks,191.7
2021-04-13,Chennai,26.89,62.35,3.13,0.0,49.21,38.15,67.31,0,0,66.82,112.38,34.35,17.97,0.919,40.45,normal urban conditions,191.05
2021-04-14,Delhi,28.63,63.59,2.56,0.0,68.27,43.7,32.39,0,0,75.35,136.7,44.07,8.97,1.299,31.36,normal urban conditions,227.12
2021-04-15,Bengaluru,23.04,81.27,2.1,0.0,64.67,60.28,49.8,0,0,80.63,113.27,59.42,13.31,1.2,27.51,normal urban conditions,230.91
2021-04-16,Bengaluru,31.07,57.05,4.37,0.0,47.03,63.92,49.21,0,0,49.97,91.29,40.12,15.83,1.224,26.25,normal urban conditions,176.04
2021-04-17,Bengaluru,25.22,73.74,1.55,0.0,72.39,66.35,56.68,0,0,77.09,89.66,39.2,21.87,1.494,30.9,low wind,216.55
2021-04-18,Bengaluru,25.82,76.05,2.9,0.0,68.47,51.97,27.05,0,0,71.64,123.56,44.72,18.14,1.373,13.48,normal urban conditions,189.94
2021-04-19,Hyderabad,27.43,61.96,3.32,0.0,88.92,58.9,60.72,0,0,69.08,124.05,50.57,11.28,1.596,23.93,heavy traffic,226.11
2021-04-20,Bengaluru,22.81,63.72,2.6,0.0,100.0,48.97,11.08,0,0,74.71,129.95,58.84,13.53,1.69,28.08,heavy traffic,231.06
2021-04-21,Mumbai,28.19,58.78,3.54,0.0,77.3,20.64,34.64,0,0,36.24,104.94,35.71,6.33,1.357,22.06,heavy traffic,134.74
2021-04-22,Bengaluru,30.4,57.96,6.28,0.0,58.85,48.11,16.75,0,0,49.14,108.06,42.06,14.58,1.13,34.14,normal urban conditions,193.55
2021-04-23,Hyderabad,28.38,70.48,3.05,0.0,80.35,45.24,64.56,0,0,91.34,146.22,49.14,16.94,1.526,27.28,heavy traffic,221.74
2021-04-24,Hyderabad,22.73,68.2,2.68,0.0,70.15,33.3,56.0,0,0,72.5,127.08,42.25,15.25,1.227,23.79,normal urban conditions,205.6
2021-04-25,Hyderabad,27.13,65.16,4.42,0.0,66.16,41.79,57.12,0,0,80.83,136.23,44.09,14.49,1.16,20.06,normal urban conditions,209.42
2021-04-26,Hyderabad,29.73,49.74,3.49,0.0,56.21,54.43,77.46,0,0,82.33,92.89,42.6,14.43,1.349,31.21,construction activity,214.15
2021-04-27,Delhi,21.87,56.82,4.93,0.0,62.57,31.6,41.68,0,0,55.4,81.75,38.38,11.77,1.297,36.74,normal urban conditions,212.66
2021-04-28,Delhi,24.28,86.24,3.4,0.0,67.16,39.21,60.19,0,0,70.56,92.4,42.94,15.32,1.248,22.23,normal urban conditions,220.18
2021-04-29,Mumbai,30.13,58.93,2.9,0.0,82.87,79.86,49.32,0,0,82.89,145.95,58.86,26.82,1.68,31.39,"heavy traffic, industrial emissions",269.49
2021-04-30,Delhi,28.31,54.24,1.06,0.0,78.18,23.15,46.28,0,0,82.78,108.54,50.12,7.15,1.307,31.99,"heavy traffic, low wind",239.54
2021-05-01,Hyderabad,31.3,74.2,1.26,0.0,98.14,48.7,74.13,0,0,99.92,127.62,61.83,19.56,1.655,18.3,"heavy traffic, construction activity, low wind",292.53
2021-05-02,Bengaluru,35.64,59.67,1.0,0.0,79.72,31.01,89.64,0,0,96.22,138.04,57.06,12.69,1.342,29.51,"heavy traffic, construction activity, low wind",233.78
2021-05-03,Bengaluru,31.47,65.55,3.66,0.0,75.72,38.47,39.37,1,0,81.46,98.43,43.8,15.62,1.425,26.3,"heavy traffic, festival fireworks",188.52
2021-05-04,Hyderabad,32.04,57.99,1.57,0.0,64.03,48.44,64.67,0,0,77.4,127.66,48.57,15.31,1.475,13.79,low wind,198.89
2021-05-05,Chennai,38.19,51.88,4.71,0.0,52.33,34.22,54.38,0,0,60.95,68.89,50.76,16.69,1.055,38.3,normal urban conditions,213.07
2021-05-06,Hyderabad,29.42,59.51,3.24,0.0,59.81,62.33,54.62,0,0,68.23,91.53,46.06,17.96,1.424,20.52,normal urban conditions,189.03
2021-05-07,Delhi,27.67,48.6,2.91,0.0,57.73,76.32,52.94,0,0,73.51,120.07,48.7,17.27,1.429,32.14,industrial emissions,236.01
2021-05-08,Bengaluru,31.35,58.98,2.19,0.0,27.95,67.15,41.34,0,0,50.52,75.5,28.85,19.09,0.855,22.86,normal urban conditions,133.15
2021-05-09,Hyderabad,31.38,62.79,3.95,0.0,52.79,70.44,5.0,0,0,52.59,118.42,40.13,21.65,1.304,42.02,industrial emissions,223.0
2021-05-10,Bengaluru,28.48,80.37,2.23,0.0,94.56,27.16,78.7,0,0,111.82,149.14,53.05,11.35,1.536,22.07,"heavy traffic, construction activity",252.94
2021-05-11,Hyderabad,26.96,63.78,2.02,0.0,74.83,47.62,34.11,0,0,66.98,129.7,53.74,8.4,1.551,38.62,normal urban conditions,223.18
2021-05-12,Hyderabad,36.99,32.56,4.63,0.0,62.9,60.41,43.17,0,0,61.54,112.78,49.33,16.32,1.488,33.23,normal urban conditions,229.82
2021-05-13,Delhi,31.04,59.13,3.63,0.0,75.3,67.68,43.59,0,0,69.81,112.38,54.76,18.12,1.59,27.6,heavy traffic,224.96
2021-05-14,Hyderabad,27.87,89.69,2.92,0.0,37.67,83.56,32.32,0,0,45.73,75.24,47.35,20.23,1.301,33.53,industrial emissions,198.52
2021-05-15,Bengaluru,32.81,67.5,3.97,0.0,73.44,71.24,52.8,1,0,90.49,145.93,46.4,16.91,1.547,21.52,"industrial emissions, festival fireworks",228.22
2021-05-16,Mumbai,29.73,52.88,3.21,0.0,89.37,68.14,47.11,0,0,77.37,126.62,61.67,21.87,1.821,28.36,heavy traffic,253.02
2021-05-17,Bengaluru,29.3,67.2,3.66,0.0,66.99,99.4,33.67,0,0,81.53,157.71,56.03,15.79,1.658,29.83,industrial emissions,254.15
2021-05-18,Delhi,31.75,52.16,2.22,0.0,40.58,53.73,50.99,0,0,73.03,130.8,39.25,15.88,1.147,32.03,normal urban conditions,203.67
2021-05-19,Mumbai,26.19,49.93,5.68,0.0,62.31,46.8,47.34,0,0,53.13,93.37,39.04,14.81,1.374,26.71,normal urban conditions,174.5
2021-05-20,Hyderabad,31.12,56.53,2.5,0.0,89.4,55.19,66.56,0,0,91.31,136.68,51.29,22.12,1.711,27.67,heavy traffic,259.55
2021-05-21,Chennai,35.8,57.65,5.07,0.0,73.07,35.53,21.19,0,0,42.59,97.08,36.5,12.64,1.281,36.7,normal urban conditions,181.49
2021-05-22,Mumbai,31.46,41.06,2.97,0.0,46.24,53.22,31.89,0,0,62.6,126.71,41.57,16.85,1.09,31.61,normal urban conditions,206.91
2021-05-23,Mumbai,28.93,50.05,4.17,0.0,100.0,20.92,62.51,0,0,70.29,139.01,55.17,10.72,1.636,34.67,heavy traffic,236.63
2021-05-24,Hyderabad,28.54,61.92,4.08,0.0,48.87,42.47,35.21,0,0,31.49,79.92,36.39,14.08,1.163,29.01,normal urban conditions,155.78
2021-05-25,Chennai,28.83,57.54,4.58,0.0,65.04,49.92,29.93,0,0,64.57,85.14,44.12,20.28,1.343,31.5,normal urban conditions,193.7
2021-05-26,Chennai,29.3,65.24,2.19,0.0,52.33,69.09,36.19,0,0,82.92,88.16,41.75,14.72,1.268,34.22,normal urban conditions,231.63
2021-05-27,Delhi,28.93,49.4,4.49,0.0,52.35,72.0,45.98,0,0,74.36,95.77,46.92,16.52,1.326,25.81,industrial emissions,219.7
2021-05-28,Mumbai,32.81,65.97,5.42,0.0,61.69,34.65,46.06,1,0,81.42,110.94,39.24,14.81,1.176,35.87,festival fireworks,189.54
2021-05-29,Chennai,24.86,52.56,2.89,0.0,79.11,89.37,43.8,0,0,92.98,157.07,57.27,22.07,1.714,24.27,"heavy traffic, industrial emissions",263.73
2021-05-30,Delhi,32.65,75.37,3.24,0.0,89.58,54.67,27.43,0,0,83.27,148.09,61.28,14.9,1.81,17.11,heavy traffic,259.1
2021-05-31,Chennai,28.92,44.4,2.57,0.0,62.75,56.32,63.46,0,0,84.4,143.2,50.89,15.8,1.303,26.28,normal urban conditions,246.52
2021-06-01,Mumbai,32.13,48.38,2.78,2.58,49.84,22.88,74.52,0,0,46.66,121.09,25.96,13.4,1.026,24.81,construction activity,187.7
2021-06-02,Chennai,27.62,66.64,5.25,1.83,73.66,40.84,9.79,0,0,30.83,66.56,45.15,14.99,1.391,27.82,normal urban conditions,171.76
2021-06-03,Mumbai,34.99,73.95,1.99,5.98,74.13,70.9,16.93,0,0,64.51,78.14,49.2,16.2,1.467,26.37,"industrial emissions, rain, low wind",209.19
2021-06-04,Hyderabad,34.74,60.63,2.07,3.58,69.85,55.06,68.06,0,0,88.86,111.69,50.91,16.52,1.318,30.72,rain,214.29
2021-06-05,Bengaluru,33.88,63.71,5.13,0.2,70.41,53.94,79.4,0,0,61.61,74.11,27.47,15.48,1.412,36.09,construction activity,182.67
2021-06-06,Delhi,26.46,63.46,3.95,0.47,64.2,56.09,5.42,0,0,60.4,80.9,47.06,17.39,1.201,35.34,normal urban conditions,205.29
2021-06-07,Hyderabad,33.49,48.09,5.74,3.0,67.57,26.02,64.31,0,0,50.79,91.7,43.26,10.2,1.363,32.7,rain,179.1
2021-06-08,Hyderabad,32.21,54.35,2.66,0.35,63.09,50.26,80.76,0,0,78.57,126.62,45.17,11.42,1.28,36.8,construction activity,224.73
2021-06-09,Bengaluru,26.18,51.35,3.35,1.92,83.12,77.35,30.75,0,0,61.86,107.53,51.05,21.39,1.676,25.0,"heavy traffic, industrial emissions",223.26
2021-06-10,Chennai,30.93,47.36,2.41,3.86,100.0,71.56,79.59,0,0,95.89,124.06,76.16,20.1,1.977,18.38,"heavy traffic, construction activity, industrial emissions, rain",259.98
2021-06-11,Bengaluru,32.09,63.35,3.37,2.64,68.87,49.75,44.44,0,0,59.69,115.34,54.01,19.21,1.364,19.79,normal urban conditions,202.42
2021-06-12,Hyderabad,32.67,47.7,1.07,0.27,65.89,80.15,54.29,0,0,104.85,128.09,51.6,15.87,1.574,28.87,"industrial emissions, low wind",231.12
2021-06-13,Hyderabad,31.53,62.92,4.02,0.51,70.09,29.34,33.62,1,0,76.93,116.91,41.11,11.48,1.221,33.36,festival fireworks,206.14
2021-06-14,Hyderabad,31.87,46.47,3.59,2.72,55.47,34.51,68.02,0,0,51.07,81.48,26.79,11.83,1.126,28.6,normal urban conditions,151.32
2021-06-15,Chennai,35.42,59.97,3.13,8.68,78.24,85.55,64.69,0,0,90.2,150.01,60.92,19.5,1.78,38.59,"heavy traffic, industrial emissions, rain",261.92
2021-06-16,Mumbai,34.68,52.64,2.73,1.52,73.06,62.4,82.49,0,0,85.07,129.08,43.75,12.36,1.432,43.58,construction activity,235.7
2021-06-17,Delhi,22.4,80.19,2.13,3.98,59.27,46.8,76.81,0,0,56.13,118.53,48.33,11.29,1.284,14.48,"construction activity, rain",218.29
